job_id_a,title_a,exp_level_a,salary_a,job_id_b,title_b,exp_level_b,salary_b,shared_skills,similarity
3902842690,Equipment Technician,Entry level,,3905331468,Termite Technician I,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902919581,Project Manager Civil,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904056031,"Director, Technical Program Management - Card Data Tech",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3894563596,SATCOM Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3894287451,"Senior Software Engineer, Full Stack (TypeScript, Node, React, AWS)",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902834500,Java with Mainframe Zos,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902396611,EPC Project Manager - Utility Scale Solar,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905866567,Principal Member of Technical Staff,Not Specified,244654.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901370757,Senior Java Architect,Mid-Senior level,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3902949098,Software Developer Intern – Corporate Systems,Internship,,2,1.0
3902842690,Equipment Technician,Entry level,,3902355088,Big Data Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889480454,Silicon Packaging Engineer,Not Specified,242500.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904422391,Manager Engineering,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902750257,Case Developer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3900981557,Product Development and Engineering Manager (TSBB),Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904991152,Actuarial Data Scientist III,Entry level,178750.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901950818,Python Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3888452135,Manager of Customer Success-SW,Mid-Senior level,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3895527350,Software Engineer - Video and Audio Editor,Not Specified,200000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904951227,"Android Software Engineer, Core and Monetization",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902753972,Sr. Backend Software Engineer - ML Infra,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903822355,Python Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3888939845,Senior Staff Engineer Database Platform Remote,Mid-Senior level,171750.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904993197,Landscape Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3900944408,SAP Technical Lead,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904004147,"Manager, Engineering",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3900076904,Kafka Engineer,Associate,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3906092777,Webflow Developer,Not Specified,41600.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904509933,Software Application Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3891072846,Project Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3901958476,US_Instrument Technician II RDA,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902312935,Snowflake Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889714841,"Fiber Technician, Las Vegas, NV",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904415734,AWS Java Full Stack Developer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3888010119,Inspector,Entry level,73671.5,2,1.0
3902842690,Equipment Technician,Entry level,,3903473758,Construction Testing Technician - Airport,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901648744,Project Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905397255,"Associate - Spring 2025 - Los Angeles, CA",Entry level,80080.0,2,1.0
3902842690,Equipment Technician,Entry level,,3903843683,Staff Controls Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901955639,Undergrad Intern - Mining,Internship,,2,1.0
3902842690,Equipment Technician,Entry level,,3895518970,Principal Software Engineer,Mid-Senior level,127500.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3905291029,Electronic Technician,Not Specified,54000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3899523300,JAVA FULLSTACK DEVELOPER WITH AWS,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904928218,Project Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3890891656,Golang Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905326358,AI Security Research Scientist,Not Specified,170900.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3902743321,"Senior Firmware Engineer/Architect, Space Systems",Mid-Senior level,146350.0,2,1.0
3902842690,Equipment Technician,Entry level,,3906267126,"Staff Software Engineer, ML Serving Platform",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901902161,Senior IHS Markit EDM Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905337389,Burglar Alarm Installation Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902360822,Sr. Java Developer with Cassandra,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3884990763,"Software Development Engineer, Nitro SSD",Mid-Senior level,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3894872721,"Outside Plant Engineer, Seattle, WA",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903878534,Natural Language Processing Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3899536327,Radio Access Network Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3903809266,Field Service Tech II Wisconsin,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904995548,Identity Engineer,Mid-Senior level,114400.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3901351188,Avionics/Elec Tech II,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3884432811,Field Service Technician,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905307683,SMT Lab Engineer II,Entry level,85000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905842814,Database Manager,Mid-Senior level,600000.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3666781416,Senior Electronics Design Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3906254416,"Security Solutions Engineer, Associate - Identity & Access Management (Dallas, TX)",Associate,,2,1.0
3902842690,Equipment Technician,Entry level,,3894978601,M365 Copilot Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904937252,ServiceNow Consultant,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901987086,Senior Solutions .Net Architect,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905297818,Salesforce Sales Cloud Developer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903802634,"Senior Manager, Full Stack Software Engineering - Capital One Software (Remote Eligible)",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3888939051,Transmission Line Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901958479,Sr. Software Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3884933410,Senior Electrical Engineer - Wind onshore/offshore,Mid-Senior level,122500.0,2,1.0
3902842690,Equipment Technician,Entry level,,3891077710,Cloud Architect (GCP),Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3903881455,"Senior iOS Engineer II, Groups",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904424969,"Threat Hunting Analyst /Information Technology Specialist 3 (Information Security), ref 5774M-10BR",Entry level,95305.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3895520855,Senior Java Developer,Associate,,2,1.0
3902842690,Equipment Technician,Entry level,,3884918304,Auto Glass Installation Technician Trainee,Internship,67028.0,2,1.0
3902842690,Equipment Technician,Entry level,,3902843663,Prisma Cloud Engineer,Entry level,150800.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904425890,US|Developer (Senior) #: 24-02646,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905290363,Network Architect,Mid-Senior level,131040.0,2,1.0
3902842690,Equipment Technician,Entry level,,3533320307,Java architect / Lead Java developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904962297,"Only W2 || .Net Developer || Dallas, TX",Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3906222715,Wireless Tester,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3895491595,Field Service Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905686869,Group Product Manager,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3887719351,Senior Manufacturing Operations Analyst,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902352597,Product Development Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3887701122,Truck Technician / Mechanic,Entry level,81369.59999999999,2,1.0
3902842690,Equipment Technician,Entry level,,3906240261,Software Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3900957959,Performance Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904432310,Project Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3884881419,"Travel Echo Tech - $3,562 per week in Chico, CA",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902918626,"Senior Designer, Piping",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903806210,"Senior Associate, Data Scientist - Model Risk Office",Associate,,2,1.0
3902842690,Equipment Technician,Entry level,,3905308636,Engineer Software / Principal Engineer Software - Simulation (Melbourne),Associate,107150.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904512132,Mainframe Engineer,Entry level,189280.0,2,1.0
3902842690,Equipment Technician,Entry level,,3894210241,Software Developer,Entry level,123100.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905881704,Senior Java Engineer / Remote,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3885829297,"Staff Design Engineer, Spectrum",Mid-Senior level,193450.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905341287,Senior Software Engineer,Mid-Senior level,400000.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3905370145,Field Engineer - West Palm Beach (Summer/Fall 2024),Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905874705,Senior Java Developer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3889420511,Systems Architect - REMOTE,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3885380768,Access Control Technician or Senior Access Control Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905300821,Staff Engineer II – Telematics Platform,Mid-Senior level,204500.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904711444,Dev/Research Engineer 1,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904061915,Lead Machine Learning Engineer,Mid-Senior level,174500.0,2,1.0
3902842690,Equipment Technician,Entry level,,3885812447,Sr Software Engineer - Synthetic Vision - 10K Sign on Bonus,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905205468,Automation & Controls Engineer,Associate,,2,1.0
3902842690,Equipment Technician,Entry level,,3906251552,Senior Software Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901350579,Java Architect,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889414976,Data Tester with Security Clearance,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3885113071,iOS Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3906085813,Java FullStack Developer (Fully Remote),Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3887473578,DevOps Consultant,Mid-Senior level,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3901961079,Java Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3891073915,Java Software Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904393334,Licensing Technician,Entry level,47898.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905857557,Sterility Technician,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3901954416,Solutions Architect,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3888025713,Technician,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905827884,Vice President of Sales,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904952119,Collective Joint Training Deputy Technical Branch Lead,Mid-Senior level,104800.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904095258,React.js Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905286152,Fullstack Developer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904388204,R&D Scientific Programmer,Entry level,2096744.0,2,1.0
3902842690,Equipment Technician,Entry level,,3885112234,Solar Consultant,Not Specified,175000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904702627,Sr. Transportation Project Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902947300,Avionics Engineer - ASL - Open Rank (Hybrid),Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901691460,"AFRL/RWTSR-Interdisciplinary Mid-Level Engineer, DR-02 (GS-12/13 Equivalent)",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3894548003,Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902822598,Senior ServiceNow ITOM Consultant,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3887890745,Security Logging Development Engineering Lead,Mid-Senior level,174100.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905871838,Aircraft Mechanic - Parachute Rigger with Security Clearance,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904952305,Field Engineer,Entry level,115000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905341000,"IT Learning Developer, Senior",Mid-Senior level,97460.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904429164,Mechanical Engineer III,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3899542407,Artificial Intelligence Engineer,Mid-Senior level,156000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901670064,MEP Electrical Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902833743,Database Architect,Not Specified,105000.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3885804881,"Senior Lead Software Engineer, Full Stack (Remote -Eligible)",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3886216113,Full Stack Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889114652,Mechanical Design Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905299430,Field Engineer with Security Clearance,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3906232268,Paint Engineering Lead,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904952507,NetSuite Developer - Ecommerce,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3891076501,.NET Full stack Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3904362730,Manager Systems Engineering 1,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3895516123,Field Service Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901670669,Senior Platform Engineer-Salesforce Developer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901375858,Axiom Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902840924,IAM Full Stack Engineer,Entry level,185000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3906074319,Network Engineer,Mid-Senior level,90000.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3899522840,Electrical Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3899525267,ServiceNow App Engine Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3903800866,"Software Engineer, Full Stack",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904396213,Project Engineer for Wastewater Facilities,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903465371,Manufacturing Engineer II,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902837771,Agile Scrum Master,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904089065,"Network Deploy Technician , Infrastructure Delivery",Not Specified,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3902808930,Kofax Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905333915,"Junior Software Engineer, AI",Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3884915766,"Director, Engineering",Director,202000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3894890946,Senior Manufacturing Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3886893638,Oracle PL/SQL Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3905251950,"Field Technician, Locator",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903843077,Software Engineer (Hybrid),Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902369613,Field Equipment Technician,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902398239,Group Controller,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3901390487,SOAR Engineer (Contractor),Not Specified,135200.0,2,1.0
3902842690,Equipment Technician,Entry level,,3884437819,Technical Scrum Master,Entry level,117700.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905297627,Manufacturing Engineering Manager,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3906254406,Research Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904049716,General Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3903841579,Entry BioCAD Engineer,Entry level,58000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3886883165,Developer with Trading Application,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3891075352,Saviynt Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3906227360,Escrow Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901954997,Software Engineer I,Mid-Senior level,99405.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905337135,Mechanical Design Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905325920,Dir. Applications Development - Customer and Agency Experience,Entry level,255443.5,2,1.0
3902842690,Equipment Technician,Entry level,,3904953346,Lead Cloud Engineer,Not Specified,160000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3887719098,Project Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3894278267,"Field Service Technician - Great Falls, Montana (Medication Management)",Entry level,58100.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904723465,Technician,Entry level,32240.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904412038,Linux System Administrator,Mid-Senior level,142480.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905886055,"Webops Engineer with Digital Marketing Experience || Erlanger, KY (Hybrid)",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3888006798,Packaging Engineer,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904999434,HW Electrical Eng II TPS,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3904095659,Auto Glass Installation Technician Trainee,Internship,67028.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904720938,Field Service Technician I,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3902914840,Data Scientist,Not Specified,140000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3904937188,Sr. Citrix Systems Engineer,Mid-Senior level,130000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3898177052,Collibra Developer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889151211,Databee Engineering Intern,Internship,,2,1.0
3902842690,Equipment Technician,Entry level,,3902351604,Sr. C++ Developer/Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3889283734,MEP Manager - Mega Healthcare,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3885844769,Frontend Software Engineer (Contract) (Hybrid) – 4315,Not Specified,124800.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901607572,Snowflake Data Architect,Mid-Senior level,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3898163018,IAM Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3900079676,Automation Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3885852888,Senior Software Engineer - Identity,Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905349505,Permit Technician,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905263166,Experienced Collision Technician,Mid-Senior level,120000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901160339,Sr. Software Engineer - Cloud (Remote),Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3906232046,Sales Associate Target Optical,Entry level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3889499270,AE - Merchandising Team Leader (Assistant Manager) - US,Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3901372760,Insurance Account Representative,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3891077116,Regional Sales Manager - South Territory,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3888487482,Sales Enablement Specialist,Not Specified,60000.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3886205303,Co-Founder,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3891091354,Sales Associate,Entry level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3884942284,Co-Founder,Not Specified,15000.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3902322795,Sr Sales Development Representative (Cryo-EM Life Sciences)(West Coast),Not Specified,139400.0,2,0.6666666666666666
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3905624302,Bi-Lingual Intake Specialist,Entry level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3887860811,08845 Store Manager,Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3904420733,Business Development and Operations Analyst,Not Specified,70000.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3906093548,Territory Sales Manager,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3905821387,Sales Manager,Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3905666541,Program Analyst (Rulemaking),Mid-Senior level,146203.5,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3905363829,Sales Associate - Spirit,Entry level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3891253759,Account Director I,Director,119555.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3901697162,Senior Director of Sales,Mid-Senior level,130000.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3888976413,Preventive Maintenance Sales,Entry level,97500.0,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3891250843,Sales Associate,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3888032589,Master Sales Consultant,Not Specified,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3886456196,Area Lead Health Information Specialist-Onsite,Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3895565702,"National Account Manager, Payer",Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3905697438,Enterprise National Account Manager (ENAM),Mid-Senior level,,2,1.0
3900939879,"Field Technical Support- Fort Mead, MD- TS Sci with Full Scope Poly Required",Not Specified,142000.0,3886895636,"VP, Retirement Plan Sales",Mid-Senior level,,2,1.0
