skill_name,listed_week,demand_count,growth_rate,momentum_score,trend_score,weekly_slope
Finance,2024-04-01/2024-04-07,754,4.6228,2150.1481,41.7614,1742.7778
Finance,2024-04-08/2024-04-14,1535,4.6228,2150.1481,41.7614,1742.7778
Finance,2024-04-15/2024-04-21,5722,4.6228,2150.1481,41.7614,1742.7778
General Business,2024-04-01/2024-04-07,238,3.0205,433.7037,23.4363,359.4444
General Business,2024-04-08/2024-04-14,443,3.0205,433.7037,23.4363,359.4444
General Business,2024-04-15/2024-04-21,1248,3.0205,433.7037,23.4363,359.4444
Health Care Provider,2024-04-01/2024-04-07,2548,2.1743,3453.2593,22.9285,2770.1111
Health Care Provider,2024-04-08/2024-04-14,3629,2.1743,3453.2593,22.9285,2770.1111
Health Care Provider,2024-04-15/2024-04-21,10498,2.1743,3453.2593,22.9285,2770.1111
Human Resources,2024-04-01/2024-04-07,251,4.525,706.7407,35.546,567.8889
Human Resources,2024-04-08/2024-04-14,478,4.525,706.7407,35.546,567.8889
Human Resources,2024-04-15/2024-04-21,1879,4.525,706.7407,35.546,567.8889
Information Technology,2024-04-01/2024-04-07,2246,4.9843,6887.7778,50.8953,5597.3333
Information Technology,2024-04-08/2024-04-14,4835,4.9843,6887.7778,50.8953,5597.3333
Information Technology,2024-04-15/2024-04-21,18175,4.9843,6887.7778,50.8953,5597.3333
Legal,2024-04-01/2024-04-07,208,4.5673,573.3333,35.0163,475.0
Legal,2024-04-08/2024-04-14,478,4.5673,573.3333,35.0163,475.0
Legal,2024-04-15/2024-04-21,1543,4.5673,573.3333,35.0163,475.0
Management,2024-03-18/2024-03-24,1,10625.2486,5583.9012,98511.9539,3346.8222
Management,2024-04-01/2024-04-07,2139,10625.2486,5583.9012,98511.9539,3346.8222
Management,2024-04-08/2024-04-14,3815,10625.2486,5583.9012,98511.9539,3346.8222
Management,2024-04-15/2024-04-21,14430,10625.2486,5583.9012,98511.9539,3346.8222
Manufacturing,2024-03-18/2024-03-24,1,9231.8426,4850.0247,84295.891,2906.2444
Manufacturing,2024-04-01/2024-04-07,1883,9231.8426,4850.0247,84295.891,2906.2444
Manufacturing,2024-04-08/2024-04-14,3306,9231.8426,4850.0247,84295.891,2906.2444
Manufacturing,2024-04-15/2024-04-21,12538,9231.8426,4850.0247,84295.891,2906.2444
Marketing,2024-04-01/2024-04-07,548,4.2401,1458.8148,36.7889,1161.7778
Marketing,2024-04-08/2024-04-14,954,4.2401,1458.8148,36.7889,1161.7778
Marketing,2024-04-15/2024-04-21,3898,4.2401,1458.8148,36.7889,1161.7778
Other,2024-04-01/2024-04-07,1273,4.092,3245.6296,39.1494,2604.5556
Other,2024-04-08/2024-04-14,2295,4.092,3245.6296,39.1494,2604.5556
Other,2024-04-15/2024-04-21,8746,4.092,3245.6296,39.1494,2604.5556
Product Management,2024-04-01/2024-04-07,125,4.5796,355.1852,32.6403,286.2222
Product Management,2024-04-08/2024-04-14,244,4.5796,355.1852,32.6403,286.2222
Product Management,2024-04-15/2024-04-21,944,4.5796,355.1852,32.6403,286.2222
Production,2024-04-01/2024-04-07,71,4.651,205.2593,30.3056,165.1111
Production,2024-04-08/2024-04-14,138,4.651,205.2593,30.3056,165.1111
Production,2024-04-15/2024-04-21,544,4.651,205.2593,30.3056,165.1111
Project Management,2024-04-01/2024-04-07,317,5.4539,1059.037,44.5307,864.4444
Project Management,2024-04-08/2024-04-14,738,5.4539,1059.037,44.5307,864.4444
Project Management,2024-04-15/2024-04-21,2770,5.4539,1059.037,44.5307,864.4444
Public Relations,2024-04-01/2024-04-07,115,4.771,335.7778,33.5797,274.3333
Public Relations,2024-04-08/2024-04-14,250,4.771,335.7778,33.5797,274.3333
Public Relations,2024-04-15/2024-04-21,893,4.771,335.7778,33.5797,274.3333
Purchasing,2024-04-01/2024-04-07,57,4.6082,163.7778,28.9584,131.3333
Purchasing,2024-04-08/2024-04-14,108,4.6082,163.7778,28.9584,131.3333
Purchasing,2024-04-15/2024-04-21,434,4.6082,163.7778,28.9584,131.3333
Quality Assurance,2024-04-01/2024-04-07,136,5.866,482.7407,42.8122,398.8889
Quality Assurance,2024-04-08/2024-04-14,357,5.866,482.7407,42.8122,398.8889
Quality Assurance,2024-04-15/2024-04-21,1259,5.866,482.7407,42.8122,398.8889
Research,2024-04-01/2024-04-07,259,5.1883,850.7407,41.1402,671.8889
Research,2024-04-08/2024-04-14,462,5.1883,850.7407,41.1402,671.8889
Research,2024-04-15/2024-04-21,2207,5.1883,850.7407,41.1402,671.8889
Sales,2024-04-01/2024-04-07,2355,3.6612,5349.9259,37.4845,4311.1111
Sales,2024-04-08/2024-04-14,4147,3.6612,5349.9259,37.4845,4311.1111
Sales,2024-04-15/2024-04-21,14691,3.6612,5349.9259,37.4845,4311.1111
Science,2024-04-01/2024-04-07,55,7.0747,248.2963,45.5955,194.5556
Science,2024-04-08/2024-04-14,105,7.0747,248.2963,45.5955,194.5556
Science,2024-04-15/2024-04-21,622,7.0747,248.2963,45.5955,194.5556
Strategy/Planning,2024-04-01/2024-04-07,88,6.1818,336.6667,42.4723,272.0
Strategy/Planning,2024-04-08/2024-04-14,205,6.1818,336.6667,42.4723,272.0
Strategy/Planning,2024-04-15/2024-04-21,865,6.1818,336.6667,42.4723,272.0
Supply Chain,2024-04-01/2024-04-07,88,6.2348,339.1111,42.8326,274.3333
Supply Chain,2024-04-08/2024-04-14,208,6.2348,339.1111,42.8326,274.3333
Supply Chain,2024-04-15/2024-04-21,871,6.2348,339.1111,42.8326,274.3333
Training,2024-04-01/2024-04-07,206,4.5221,571.4815,34.542,465.7778
Training,2024-04-08/2024-04-14,429,4.5221,571.4815,34.542,465.7778
Training,2024-04-15/2024-04-21,1529,4.5221,571.4815,34.542,465.7778
Writing/Editing,2024-04-01/2024-04-07,127,4.9186,380.4444,35.1945,312.3333
Writing/Editing,2024-04-08/2024-04-14,289,4.9186,380.4444,35.1945,312.3333
Writing/Editing,2024-04-15/2024-04-21,1010,4.9186,380.4444,35.1945,312.3333
